Date,Amount,Transaction Id,Transaction type,Transaction details,Balance*
15-Sep-17,-$16.30,0,Test,Test,$153.50
15-Sep-17,-$3.70,0,Test,Test,$169.80
15-Sep-17,$2.00,0,Test,Test,$173.50
15-Sep-17,$163.35,0,Test,Test,$171.50
18-Sep-17,-$3.50,0,Test,Test,$110.00
14-Sep-17,-$4.00,0,Test,Test,$12.30
14-Sep-17,-$3.70,0,Test,Test,$16.30
14-Sep-17,-$4.15,0,Test,Test,$8.15
11-Sep-17,-$70.00,0,Test,Test,$20.00
11-Sep-17,-$50.00,0,Test,Test,$90.00
11-Sep-17,-$30.00,0,Test,Test,$140.00
11-Sep-17,$8.05,0,Test,Test,$170.00
11-Sep-17,$61.95,0,Test,Test,$161.95
8-Sep-17,-$70.00,0,Test,Test,$100.00
6-Sep-17,-$500.00,0,Test,Test,$174.50
6-Sep-17,-$250.00,0,Test,Test,$674.50
6-Sep-17,-$15.83,0,Test,Test,$924.50
6-Sep-17,-$5.20,0,Test,Test,$940.33
6-Sep-17,$265.83,0,Test,Test,$945.53
6-Sep-17,$670.00,0,Test,Test,$679.70
7-Sep-17,-$4.50,0,Test,Test,$170.00
4-Sep-17,-$30.00,0,Test,Test,$9.70
4-Sep-17,-$5.80,0,Test,Test,$39.70
4-Sep-17,-$4.50,0,Test,Test,$45.50
1-Sep-17,-$64.00,0,Test,Test,$50.00
1-Sep-17,-$4.00,0,Test,Test,$114.00
30-Aug-17,-$10.00,0,Test,Test,$118.00
30-Aug-17,-$7.00,0,Test,Test,$128.00
29-Aug-17,$135.00,0,Test,Test,$135.00
28-Aug-17,-$180.00,0,Test,Test,$0.00
28-Aug-17,-$70.00,0,Test,Test,$180.00
28-Aug-17,-$30.00,0,Test,Test,$250.00
28-Aug-17,-$15.00,0,Test,Test,$280.00
28-Aug-17,$15.00,0,Test,Test,$295.00
28-Aug-17,$60.00,0,Test,Test,$280.00
28-Aug-17,$70.00,0,Test,Test,$220.00
25-Aug-17,-$20.00,0,Test,Test,$150.00
23-Aug-17,-$500.00,0,Test,Test,$170.00
23-Aug-17,-$300.00,0,Test,Test,$670.00
23-Aug-17,-$200.00,0,Test,Test,$970.00
23-Aug-17,-$50.00,0,Test,Test,"$1,170.00"
23-Aug-17,-$31.18,0,Test,Test,"$1,220.00"
23-Aug-17,-$15.00,0,Test,Test,"$1,251.18"
23-Aug-17,-$4.40,0,Test,Test,"$1,266.18"
23-Aug-17,-$2.50,0,Test,Test,"$1,270.58"
23-Aug-17,-$1.10,0,Test,Test,"$1,273.08"
23-Aug-17,$3.00,0,Test,Test,"$1,274.18"
23-Aug-17,$10.00,0,Test,Test,"$1,271.18"
23-Aug-17,$20.00,0,Test,Test,"$1,261.18"
23-Aug-17,$170.00,0,Test,Test,"$1,241.18"
23-Aug-17,$500.00,0,Test,Test,"$1,071.18"
23-Aug-17,$531.18,0,Test,Test,$571.18
22-Aug-17,-$13.00,0,Test,Test,$40.00
21-Aug-17,-$50.00,0,Test,Test,$53.00
21-Aug-17,-$7.00,0,Test,Test,$103.00
21-Aug-17,-$4.00,0,Test,Test,$110.00
21-Aug-17,-$2.00,0,Test,Test,$114.00
16-Aug-17,-$54.00,0,Test,Test,$116.00
15-Aug-17,$170.00,0,Test,Test,$170.00
14-Aug-17,-$190.00,0,Test,Test,$0.00
14-Aug-17,-$20.00,0,Test,Test,$190.00
14-Aug-17,-$12.10,0,Test,Test,$210.00
14-Aug-17,-$10.00,0,Test,Test,$222.10
14-Aug-17,$20.00,0,Test,Test,$232.10
14-Aug-17,$100.00,0,Test,Test,$212.10
11-Aug-17,-$69.20,0,Test,Test,$112.10
11-Aug-17,$35.00,0,Test,Test,$181.30
10-Aug-17,-$70.00,0,Test,Test,$146.30
10-Aug-17,-$3.70,0,Test,Test,$216.30
10-Aug-17,$50.00,0,Test,Test,$220.00
9-Aug-17,-$500.00,0,Test,Test,$170.00
9-Aug-17,-$200.00,0,Test,Test,$670.00
9-Aug-17,-$56.11,0,Test,Test,$870.00
9-Aug-17,-$5.00,0,Test,Test,$926.11
9-Aug-17,$170.00,0,Test,Test,$931.11
9-Aug-17,$756.11,0,Test,Test,$761.11
